problem,difficulty,category,entry_file,version,tags,description
eve_jump_planner,medium,algorithms,did_he_say_jump,1,cli-tools|pathfinding|graph-algorithms|spatial-algorithms|data-processing|csv-parsing|multi-criteria-optimization|domain-modeling|game-mechanics,"Jump Freighter route planner for EVE Online. Calculates optimal routes with fuel costs, jump fatigue, and 3D spatial distances. Adds cloak-and-jump mechanics for extended range and handles high-sec destinations by finding nearby low-sec entry points."
eve_market_tools,hard,web,market_tools,1,rest-api|data-processing|optimization|market-analysis|csv-parsing|stateful-service|financial-calculations|constraint-solving|domain-modeling|json,"REST API for EVE Online market data. Ingests market orders, builds price books, and provides regional stats and hub comparisons. Adds reprocessing yield calculations, minimum-cost ore optimization across hubs, and profit-finding for arbitrage and hauling."
eve_route_planner,medium,algorithms,hauling,1,pathfinding|graph-algorithms|optimization|physics-simulation|logistics|cli-tools|data-processing|constraint-satisfaction|game-mechanics,"EVE Online route planner with realistic warp physics (acceleration/deceleration, gate locks). Adds cargo hauling with manifests and multi-trip planning, then contract optimization to select the most profitable jobs given time and ISK/jump constraints."
execution_server,easy,networking,execution_server,1,http-server|process-execution|state-management|concurrency|caching|job-scheduling|file-io|glob-patterns|dependency-graphs,"HTTP server that executes shell commands and returns results. Adds file tracking with globs, multi-format output support, command chains with hooks, caching, persistent environments with concurrency modes, and job scheduling with queues, templates, and dependency graphs."
file_backup,easy,file-systems,backup_scheduler,1,cli-tools|scheduling|file-io|incremental-backup|yaml|jsonl|glob-patterns|tar-archives|checksums|event-driven,"Backup scheduler CLI that reads YAML configs to run scheduled backup jobs (daily/weekly/once) with glob exclusions. Supports full backups, tar packing, verification mode, and incremental backups using SHA-256 to skip unchanged files."
file_merger,medium,data-processing,merge_files,1,csv|tsv|jsonl|parquet|cli-tools|schema-resolution|type-inference|external-sorting|memory-constrained|partitioning|nested-types|etl-pipeline,"CLI that merges data files (CSV, TSV, JSONL, Parquet) into sorted, partitioned CSV output. Handles schema alignment, compression, and external sorting. Adds Hive-style partitioning, file sharding, and nested type support."
file_query_tool,medium,data-processing,query_files,1,sql|sql-engine|cli-tools|file-io|query-processing|multi-format|window-functions|cte|csv|parquet|json,"SQL engine for querying data files (CSV, Parquet, TSV, JSON). Supports joins, aggregations, filtering, glob patterns for sharded tables, window functions (ROW_NUMBER, RANK, etc.), CTEs, and subqueries."
forge,easy,web,forge,2,resource-management|lifecycle|versioning|access-control|json|cli-tools|crud|state-persistence|schema-validation|argument-parsing,"Command-line resource broker inspired by OpenStack Cyborg concepts. Manages blueprints, allocations, units, modules, tags, revision gating, and admin workflows with strict JSON contracts."
l2m,easy,developer-tools,l2m,2,cli-tools|latex|markdown|text-processing|parsing|conversion|code-generation|file-io|format-translation,Command-line tool that converts LaTeX source files to KaTeX-compatible Markdown
layered_config_synthesizer,medium,configuration-management,synth_configs,1,cli-tools|yaml|json|mlops|merge-algorithms|schema-validation|template-expansion|env-interpolation|error-handling|file-io,"CLI that merges layered YAML/JSON configs for ML training with deterministic conflict resolution. Adds fragment expansion, env var interpolation, multi-run manifest processing, and JSON Schema validation. Outputs canonical JSON with sorted keys."
log_query,medium,developer-tools,logql,1,query-language|parsing|ndjson|sql|aggregation|joins|cli-tools|data-processing|schema-mapping|subqueries,"NDJSON query engine with custom SQL-like syntax. Implements filtering, aggregations with GROUP BY, multi-source joins (CONFLATE), schema mapping via GLOSS labels, and subqueries with custom keywords (POCKET, BEHOLDS, etc.)."
meshctl,hard,cli-tools,meshctl,2,yaml|json|resource-management|schema-validation|state-persistence|argument-parsing|crud|declarative-config|distributed-systems,"CLI tool for managing distributed cache mesh resources through declarative YAML specifications. Validates specs, applies defaults, persists state, and reports structured JSON to stdout."
metric_transform_lang,hard,dsl,mtl,1,dsl|interpreter|data-processing|streaming|json|ndjson|aggregation|window-functions|schema-validation|multi-format-io|parquet|deterministic-execution|stateful-processing|relational-joins|type-system,"Interpreter for MTL, a DSL for processing event streams. Handles CSV/TSV/Parquet input, aggregations, window functions (lag/lead), joins with temporal constraints, and resumable execution. Output is deterministic JSON."
migrate_configs,easy,cli-tools,migrate,1,file-io|config-management|rules-engine|pattern-matching|data-transformation|multi-format-parsing|json|yaml,"Config migration CLI that applies transformation rules to JSON/YAML/TOML/INI files. Supports value replacement, key renaming, pattern matching, array filtering, config inheritance with cycle detection, file relocation, and pre-transformation validation."
mocked_http,hard,web,hmock,2,mock-server|yaml|http|templating|redis|grpc|kafka|amqp|rest-api,Multi-protocol mock server with YAML-defined behaviors and admin controls.
mvvault,medium,cli-tools,mvault,2,media-archival|metadata-tracking|http-server|json|file-io|migration|crud|history-tracking,"CLI tool for creating and maintaining local vaults that archive content metadata from an online media platform. Tracks timestamped field-level history across three catalog schema versions (v1: flat entries with UNIX-epoch keys, v2: categorized with ISO keys, v3: full format with removal tracking and annotations). Supports selective sync with media downloads, format-aware digest reports, a local HTTP viewer with version-adaptive routing and chart timestamp normalization, and annotation-triggered auto-migration."
pwd_manager,medium,cli-tools,pwd_manager,2,interactive|encryption|secret-management|file-io|clipboard|tab-completion|import-export|state-management,"Interactive CLI password manager with encrypted local vault storage, master key unlock flow, search/add/edit/delete operations, category management, clipboard integration, tab completion, import/export, and vault locking controls."
recli,hard,developer-tools,appctl,2,cli-tools|configuration|yaml|argument-parsing|sqlite|caching|docker|version-management|output-formatting,"CLI framework with hierarchical command dispatch, argument validation, YAML configuration with inheritance, aliases, output formatting, file caching, SQLite persistence, container orchestration, version upgrade infrastructure, and system requirement checks."
rejector,hard,data-processing,rejector,1,cli|api-client|rate-limiting|concurrency|data-generation|llm|templates|agentic|pipeline,"A synthetic data generation pipeline that maximizes throughput against a rate-limited LLM API. Supports multiple task types, generation schemes, in-context learning setups, agentic tool-call loops, and multi-provider routing."
sheeteval,hard,developer-tools,sheeteval,2,cli-tools|spreadsheet|xlsx|grading|formula-evaluation|yaml|html|report-generation|deterministic-testing,"CLI spreadsheet grader for .xlsx answer keys and student submissions. Supports typed literal checks, tolerance/alternates/penalties, formula grading, dependencies/fatal/concealed controls, minimum thresholds, check-mode scenario verification, and HTML report rendering."
sith,hard,developer-tools,sith,2,cli-tools|python|repl|static-analysis|interpreter-mode|code-intelligence|autocompletion|type-inference|refactoring|environment-management|project-configuration|ast-parsing,"Advanced Python code intelligence CLI for static and interpreter-assisted analysis. Supports completion, inference, goto-definition, references, signatures, project search, refactors (rename/inline/extract), syntax diagnostics, environment discovery, scope context reporting, and project-level configuration/settings overrides."
test_translator,hard,developer-tools,babel_code_goat,2,code-generation|test-harness|multi-language|python|javascript|typescript|test-frameworks|parsing|file-io,"CLI test-harness translation engine that generates and runs language-specific tester files (Python, JavaScript, TypeScript) from a structured tests.py spec, with line-based test discovery, deep equality checking, JSON result output, and strict generate-before-test enforcement."
textdrop,easy,web,textdrop,2,http-server|markdown|storage|object-storage|rendering|cookies|health-checks|static-assets|lifecycle|startup-validation|failure-contracts,"Self-hosted text sharing HTTP service with strict boundary validation, markdown + metadata rendering, TOC/preview generation, static docs/assets, lifecycle auth/drain controls, signed per-user cookies, and pluggable local/object storage with startup/runtime failure contracts."
trajectory_api,medium,web,trajectory_api,1,rest-api|json-validation|concurrency-control|data-aggregation|ebnf-parsing|sandboxed-execution|state-management|versioning|complex-validation,"REST API for storing ML agent trajectories with token/cost tracking, search, and reports. Adds mutable trajectories with ETag-based concurrency, forking with lineage tracking, EBNF grammar parsing for tool call extraction, and sandboxed Python/Bash execution."
xjq,easy,developer-tools,xjq,2,cli-tools|xml|html|json|xpath|css-selectors|json-to-xml|data-transformation|query-language,"CLI query tool for XML/HTML/JSON with XPath and CSS selectors, text extraction modes, file input precedence, and smart XML/JSON output formatting"
